id,easting,northing,elevation,site,year,percAlong,distAlong
163,317907.3407,4097813.058,2163.622855,AHA,2021,0.045850914,42.78807476
164,317907.587,4097813.35,2163.611694,AHA,2021,0.046132208,43.05057828
165,317907.8768,4097813.489,2163.588598,AHA,2021,0.046413502,43.31308181
166,317907.8768,4097813.489,2163.588598,AHA,2021,0.046694796,43.57558533
167,317908.1548,4097813.61,2163.606333,AHA,2021,0.04697609,43.83808886
168,317908.1548,4097813.61,2163.606333,AHA,2021,0.047257384,44.10059239
169,317908.2468,4097814.071,2163.583205,AHA,2021,0.047538678,44.36309591
170,317908.343,4097814.551,2163.603116,AHA,2021,0.047819972,44.62559944
171,317908.4901,4097814.918,2163.74628,AHA,2021,0.048101266,44.88810296
172,317908.4901,4097814.918,2163.74628,AHA,2021,0.04838256,45.15060649
173,317908.7259,4097815.167,2163.827703,AHA,2021,0.048663854,45.41311002
174,317909.0025,4097815.485,2163.808723,AHA,2021,0.048945148,45.67561354
175,317909.0025,4097815.485,2163.808723,AHA,2021,0.049226442,45.93811707
176,317909.0784,4097815.665,2163.763329,AHA,2021,0.049507736,46.2006206
177,317909.2578,4097816.089,2163.646669,AHA,2021,0.04978903,46.46312412
178,317909.4476,4097816.499,2163.628661,AHA,2021,0.050070323,46.72562765
179,317909.4476,4097816.499,2163.628661,AHA,2021,0.050351617,46.98813117
180,317909.5552,4097816.704,2163.632619,AHA,2021,0.050632911,47.2506347
181,317909.7424,4097817.062,2163.640048,AHA,2021,0.050914205,47.51313823
182,317909.7424,4097817.062,2163.640048,AHA,2021,0.051195499,47.77564175
183,317909.7424,4097817.55,2163.689763,AHA,2021,0.051476793,48.03814528
184,317909.7325,4097818.035,2163.763408,AHA,2021,0.051758087,48.3006488
185,317909.7325,4097818.035,2163.763408,AHA,2021,0.052039381,48.56315233
186,317909.6684,4097818.526,2163.712794,AHA,2021,0.052320675,48.82565586
187,317909.6684,4097818.526,2163.712794,AHA,2021,0.052601969,49.08815938
188,317909.5626,4097818.888,2163.690772,AHA,2021,0.052883263,49.35066291
189,317909.4416,4097819.102,2163.694301,AHA,2021,0.053164557,49.61316643
190,317909.2274,4097819.481,2163.792331,AHA,2021,0.053445851,49.87566996
191,317909.2274,4097819.481,2163.792331,AHA,2021,0.053727145,50.13817349
192,317909.2671,4097820.137,2163.963933,AHA,2021,0.054008439,50.40067701
193,317909.2671,4097820.137,2163.963933,AHA,2021,0.054289733,50.66318054
194,317909.5167,4097820.374,2164.06686,AHA,2021,0.054571027,50.92568407
